F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F19,Classe
1,20,30,3,3,30,1.25,2.0,3,0,17,0,16,15,17,0.9709505941661296,4,Humana
1,22,28,3,4,33,1.2941176470588236,1.6470588235294117,3,0,24,1,17,17,17,0.9895875209335165,5,Humana
0,26,24,6,4,26,1.8571428571428572,1.8461538461538463,2,0,17,2,14,13,18,0.9988455357066628,12,Aleatória
1,23,27,12,11,11,3.8333333333333335,4.5,0,3,3,1,6,6,17,0.9953784385316868,17,Humana
0,31,19,5,3,25,2.3846153846153846,1.4615384615384615,1,0,12,2,13,13,17,0.9580420219377606,18,Aleatória
0,26,24,5,5,38,1.3,1.263157894736842,6,1,35,0,20,19,17,0.9988455357066628,6,Humana
0,27,23,5,4,26,1.9285714285714286,1.7692307692307692,2,0,18,1,14,13,18,0.9953784385316868,13,Humana
1,22,28,4,5,25,1.6923076923076923,2.1538461538461537,2,1,13,1,13,13,17,0.9895875209335165,9,Aleatória
1,19,31,6,9,22,1.7272727272727273,2.5833333333333335,2,2,12,3,11,12,18,0.9580420219377606,8,Aleatória
0,26,24,5,6,26,1.8571428571428572,1.8461538461538463,3,1,17,1,14,13,18,0.9988455357066628,12,Aleatória
-1,25,25,4,4,36,1.3888888888888888,1.3157894736842106,6,0,30,0,18,19,17,0.9999999997114609,7,Humana
0,28,22,6,5,21,2.5454545454545454,2.0,0,1,11,1,11,11,17,0.9895875209335165,17,Aleatória
0,29,21,4,3,30,1.9333333333333333,1.3125,1,0,19,1,15,16,17,0.9814538947451146,14,Aleatória
0,26,24,4,5,25,2.0,1.8461538461538463,3,1,15,1,13,13,17,0.9988455357066628,13,Humana
1,21,29,3,11,18,2.3333333333333335,2.9,0,2,4,8,9,10,16,0.9814538947451146,12,Aleatória
-1,25,25,9,4,26,1.9230769230769231,1.7857142857142858,2,0,17,5,13,14,18,0.9999999997114609,12,Humana
1,20,30,4,7,26,1.5384615384615385,2.142857142857143,1,2,16,3,13,14,18,0.9709505941661296,7,Aleatória
1,23,27,4,5,23,1.9166666666666667,2.25,0,1,6,1,12,12,18,0.9953784385316868,11,Aleatória
1,19,31,6,16,25,1.4615384615384615,2.3846153846153846,3,3,22,10,13,13,17,0.9580420219377606,6,Humana
-1,25,25,3,3,29,1.6666666666666667,1.6666666666666667,2,0,16,0,15,15,18,0.9999999997114609,10,Aleatória
1,24,26,4,4,25,1.8461538461538463,2.0,2,0,14,0,13,13,18,0.9988455357066628,11,Aleatória
1,20,30,3,8,26,1.5384615384615385,2.142857142857143,2,2,17,5,13,14,18,0.9709505941661296,7,Aleatória
1,24,26,6,5,21,2.1818181818181817,2.3636363636363638,0,1,9,1,11,11,17,0.9988455357066628,13,Aleatória
1,24,26,7,3,26,1.8461538461538463,1.8571428571428572,2,0,14,4,13,14,18,0.9988455357066628,11,Aleatória
1,23,27,4,4,27,1.6428571428571428,1.9285714285714286,2,0,15,0,14,14,18,0.9953784385316868,9,Aleatória
0,27,23,6,7,26,1.9285714285714286,1.7692307692307692,4,1,18,1,14,13,18,0.9953784385316868,13,Humana
-1,25,25,4,5,31,1.5625,1.5625,3,1,24,1,16,16,17,0.9999999997114609,9,Humana
1,24,26,4,5,29,1.6,1.7333333333333334,0,1,16,1,15,15,17,0.9988455357066628,9,Humana
-1,25,25,2,2,43,1.1363636363636365,1.1363636363636365,6,0,38,0,22,22,16,0.9999999997114609,3,Humana
-1,25,25,5,4,29,1.6666666666666667,1.6666666666666667,3,0,19,1,15,15,18,0.9999999997114609,10,Aleatória
1,11,39,11,39,1,11.0,39.0,0,7,0,28,1,1,13,0.7601675026734266,10,Humana
0,30,20,3,4,34,1.6666666666666667,1.1764705882352942,4,0,26,1,18,17,17,0.9709505941661296,12,Humana
0,27,23,2,3,38,1.35,1.2105263157894737,4,0,29,1,20,19,17,0.9953784385316868,7,Humana
1,21,29,3,6,31,1.3125,1.8125,3,1,21,3,16,16,17,0.9814538947451146,5,Aleatória
1,17,33,3,8,21,1.5454545454545454,3.0,2,2,10,5,11,11,18,0.924818704684491,6,Aleatória
1,23,27,4,5,29,1.5333333333333334,1.8,1,1,18,1,15,15,18,0.9953784385316868,8,Aleatória
1,23,27,5,7,24,1.9166666666666667,2.076923076923077,3,2,16,2,12,13,18,0.9953784385316868,11,Aleatória
0,27,23,6,4,27,1.9285714285714286,1.6428571428571428,1,0,15,2,14,14,18,0.9953784385316868,13,Aleatória
-1,25,25,5,4,29,1.6666666666666667,1.6666666666666667,2,0,20,1,15,15,17,0.9999999997114609,10,Aleatória
1,20,30,5,5,30,1.3333333333333333,1.875,5,1,22,0,15,16,17,0.9709505941661296,5,Aleatória
1,23,27,3,4,27,1.6428571428571428,1.9285714285714286,2,0,15,1,14,14,17,0.9953784385316868,9,Humana
1,22,28,4,5,24,1.6923076923076923,2.3333333333333335,1,1,10,1,13,12,17,0.9895875209335165,9,Humana
0,26,24,2,3,40,1.2380952380952381,1.2,6,0,34,1,21,20,17,0.9988455357066628,5,Humana
0,26,24,2,2,45,1.1304347826086956,1.0434782608695652,7,0,42,0,23,23,16,0.9988455357066628,3,Humana
-1,25,25,12,10,23,2.0833333333333335,2.0833333333333335,2,2,18,2,12,12,18,0.9999999997114609,13,Humana
0,27,23,5,4,23,2.25,1.9166666666666667,0,0,11,1,12,12,18,0.9953784385316868,15,Aleatória
-1,25,25,4,4,28,1.6666666666666667,1.7857142857142858,2,0,15,0,15,14,17,0.9999999997114609,10,Humana
-1,25,25,2,2,42,1.1363636363636365,1.1904761904761905,5,0,36,0,22,21,17,0.9999999997114609,3,Humana
1,24,26,4,5,29,1.6,1.7333333333333334,2,1,18,1,15,15,18,0.9988455357066628,9,Aleatória
1,21,29,4,5,24,1.6153846153846154,2.4166666666666665,2,1,12,1,13,12,17,0.9814538947451146,8,Aleatória
0,26,24,5,4,26,2.0,1.7142857142857142,3,0,18,1,13,14,17,0.9988455357066628,13,Humana
1,19,31,3,9,19,1.9,3.1,0,1,5,6,10,10,16,0.9580420219377606,9,Aleatória
-1,25,25,5,4,24,1.9230769230769231,2.0833333333333335,0,0,12,1,13,12,18,0.9999999997114609,12,Aleatória
1,24,26,3,4,34,1.3333333333333333,1.5294117647058822,2,0,25,1,18,17,17,0.9988455357066628,6,Humana
0,27,23,2,4,38,1.4210526315789473,1.15,4,0,30,2,19,20,17,0.9953784385316868,8,Humana
1,23,27,3,4,31,1.4375,1.6875,1,0,19,1,16,16,18,0.9953784385316868,7,Aleatória
-1,25,25,6,6,22,2.272727272727273,2.0833333333333335,2,1,11,0,11,12,18,0.9999999997114609,14,Humana
1,22,28,4,5,24,1.8333333333333333,2.1538461538461537,1,1,14,1,12,13,17,0.9895875209335165,10,Humana
0,33,17,2,1,34,1.8333333333333333,1.0,0,0,20,1,18,17,15,0.924818704684491,15,Humana
-1,25,25,3,3,35,1.3888888888888888,1.3888888888888888,4,0,27,0,18,18,16,0.9999999997114609,7,Humana
0,26,24,7,4,30,1.625,1.6,4,0,24,3,16,15,17,0.9988455357066628,10,Humana
0,28,22,7,4,25,2.1538461538461537,1.6923076923076923,0,0,12,3,13,13,18,0.9895875209335165,15,Aleatória
1,22,28,5,4,27,1.5714285714285714,2.0,3,0,17,1,14,14,18,0.9895875209335165,8,Aleatória
0,29,21,6,3,26,2.230769230769231,1.5,1,0,14,3,13,14,17,0.9814538947451146,16,Aleatória
1,23,27,5,6,23,1.9166666666666667,2.25,2,2,14,1,12,12,18,0.9953784385316868,11,Humana
0,30,20,7,4,21,2.727272727272727,1.8181818181818181,1,0,10,3,11,11,17,0.9709505941661296,19,Aleatória
1,22,28,7,9,13,3.142857142857143,4.0,0,2,4,2,7,7,17,0.9895875209335165,15,Aleatória
1,22,28,4,4,33,1.2941176470588236,1.6470588235294117,5,0,26,0,17,17,16,0.9895875209335165,5,Humana
0,26,24,5,4,26,1.8571428571428572,1.8461538461538463,2,0,15,1,14,13,18,0.9988455357066628,12,Aleatória
1,21,29,6,5,24,1.75,2.230769230769231,2,1,13,1,12,13,18,0.9814538947451146,9,Aleatória
1,22,28,4,4,27,1.5714285714285714,2.0,1,0,14,0,14,14,17,0.9895875209335165,8,Aleatória
0,28,22,4,4,25,2.1538461538461537,1.6923076923076923,1,0,13,0,13,13,17,0.9895875209335165,15,Humana
0,26,24,3,4,41,1.2380952380952381,1.1428571428571428,5,0,38,1,21,21,16,0.9988455357066628,5,Humana
0,30,20,5,4,26,2.142857142857143,1.5384615384615385,3,0,18,1,14,13,18,0.9709505941661296,16,Humana
-1,25,25,3,3,34,1.3888888888888888,1.4705882352941178,3,0,23,0,18,17,16,0.9999999997114609,7,Humana
-1,25,25,2,2,41,1.1904761904761905,1.1904761904761905,6,0,34,0,21,21,15,0.9999999997114609,4,Humana
0,27,23,6,3,31,1.6875,1.4375,3,0,21,3,16,16,17,0.9953784385316868,11,Aleatória
0,28,22,6,5,22,2.3333333333333335,2.0,1,1,10,1,12,11,18,0.9895875209335165,16,Aleatória
0,28,22,3,3,38,1.4,1.1578947368421053,3,0,31,0,20,19,17,0.9895875209335165,8,Humana
0,28,22,7,4,29,1.8666666666666667,1.4666666666666666,3,0,22,3,15,15,18,0.9895875209335165,13,Humana
0,34,16,5,2,29,2.2666666666666666,1.0666666666666667,0,0,19,3,15,15,17,0.9043814574359548,19,Humana
-1,25,25,5,4,23,2.0833333333333335,2.0833333333333335,1,0,12,1,12,12,17,0.9999999997114609,13,Humana
0,27,23,4,3,26,1.9285714285714286,1.7692307692307692,1,0,12,1,14,13,18,0.9953784385316868,13,Aleatória
0,29,21,7,5,25,2.230769230769231,1.6153846153846154,3,1,19,2,13,13,17,0.9814538947451146,16,Humana
1,24,26,3,5,32,1.411764705882353,1.625,2,1,23,2,17,16,17,0.9988455357066628,7,Aleatória
1,23,27,4,10,25,1.7692307692307692,2.076923076923077,3,2,15,6,13,13,18,0.9953784385316868,10,Aleatória
0,27,23,7,4,25,2.076923076923077,1.7692307692307692,1,0,12,3,13,13,18,0.9953784385316868,14,Aleatória
0,28,22,4,4,38,1.4,1.1578947368421053,5,0,33,0,20,19,16,0.9895875209335165,8,Humana
0,28,22,4,4,28,2.0,1.4666666666666666,2,0,19,0,14,15,17,0.9895875209335165,14,Humana
1,19,31,3,4,25,1.4615384615384615,2.3846153846153846,0,0,11,1,13,13,17,0.9580420219377606,6,Aleatória
0,29,21,6,3,36,1.5263157894736843,1.1666666666666667,4,0,30,3,19,18,17,0.9814538947451146,10,Humana
1,16,34,2,7,23,1.3333333333333333,2.8333333333333335,2,3,13,5,12,12,17,0.9043814574359548,4,Humana
0,26,24,11,13,24,2.0,2.0,3,2,21,2,13,12,18,0.9988455357066628,13,Humana
1,23,27,3,4,30,1.5333333333333334,1.6875,1,0,18,1,15,16,17,0.9953784385316868,8,Aleatória
1,21,29,3,8,31,1.3125,1.8125,4,2,27,5,16,16,17,0.9814538947451146,5,Humana
0,26,24,6,4,24,2.0,2.0,2,0,13,2,13,12,18,0.9988455357066628,13,Aleatória
0,26,24,3,7,31,1.625,1.5,2,1,21,4,16,16,18,0.9988455357066628,10,Humana
0,30,20,5,3,25,2.3076923076923075,1.5384615384615385,1,0,15,2,13,13,18,0.9709505941661296,17,Aleatória
0,28,22,6,5,26,2.0,1.6923076923076923,2,1,17,1,14,13,17,0.9895875209335165,14,Aleatória
-1,25,25,3,3,29,1.6666666666666667,1.6666666666666667,2,0,15,0,15,15,18,0.9999999997114609,10,Humana
0,29,21,4,3,23,2.4166666666666665,1.75,0,0,7,1,12,12,18,0.9814538947451146,17,Aleatória
0,29,21,9,3,26,2.0714285714285716,1.6153846153846154,1,0,15,6,14,13,18,0.9814538947451146,15,Aleatória
0,27,23,6,7,15,3.375,2.875,0,2,5,1,8,8,18,0.9953784385316868,19,Aleatória
1,20,30,3,4,29,1.3333333333333333,2.0,2,0,19,1,15,15,18,0.9709505941661296,5,Humana
0,28,22,4,3,30,1.75,1.4666666666666666,2,0,19,1,16,15,17,0.9895875209335165,12,Aleatória
1,24,26,6,8,16,2.6666666666666665,3.25,1,2,9,2,9,8,17,0.9988455357066628,15,Humana
0,26,24,6,8,18,2.6,2.6666666666666665,0,1,7,2,10,9,18,0.9988455357066628,16,Aleatória
-1,25,25,3,5,32,1.4705882352941178,1.5625,4,1,22,2,17,16,18,0.9999999997114609,8,Aleatória
1,21,29,3,6,23,1.75,2.4166666666666665,2,2,10,3,12,12,18,0.9814538947451146,9,Aleatória
-1,25,25,2,4,39,1.25,1.25,5,0,32,2,20,20,15,0.9999999997114609,5,Humana
1,23,27,2,4,37,1.2105263157894737,1.4210526315789473,4,0,29,2,19,19,17,0.9953784385316868,4,Humana
0,27,23,2,3,40,1.2857142857142858,1.15,3,0,33,1,21,20,17,0.9953784385316868,6,Humana
-1,25,25,3,3,39,1.25,1.25,5,0,33,0,20,20,17,0.9999999997114609,5,Humana
0,26,24,4,5,29,1.7333333333333334,1.6,2,1,21,1,15,15,18,0.9988455357066628,11,Humana
1,18,32,5,11,18,2.0,3.2,1,4,11,6,9,10,17,0.9426831889669534,9,Humana
1,20,30,3,8,27,1.4285714285714286,2.142857142857143,2,1,18,5,14,14,17,0.9709505941661296,6,Humana
-1,25,25,4,4,30,1.6666666666666667,1.5625,2,0,21,0,15,16,18,0.9999999997114609,10,Humana
0,50,0,50,0,0,50.0,0.0,0,0,0,50,1,0,10,-1.4426951601859516e-10,49,Humana
0,28,22,3,3,36,1.4736842105263157,1.2222222222222223,3,0,27,0,19,18,15,0.9895875209335165,9,Humana
-1,25,25,5,4,27,1.7857142857142858,1.7857142857142858,1,0,14,1,14,14,18,0.9999999997114609,11,Humana
