Sequências,Classe
01100101110001110011011011010110110110101110101110,Humana
10111000101101110111101010101011100101001101010100,Humana
00000011000101000111010110111000010101010111011110,Aleatória
11000111000011111111111011110011111100000000000010,Humana
11000010010011100111000001000101010010011000010010,Aleatória
01010101111101011000001000101010101010101010101010,Humana
01011110101110000010101000001000010111100101110010,Humana
11010111101101011100010000111001001011111001001110,Aleatória
11101100110000001111101010011011101111111110010101,Aleatória
00000111010111111010111011010100010110100010010000,Aleatória
11010101110101000101010010101000010101111010101001,Humana
01111100000011010000001001111001011100100000101101,Aleatória
10001001001011010010010000100010001010010111010111,Aleatória
00111000110001010100001111000110101010101111100001,Humana
11110010010011000100100011111111111000111100110011,Aleatória
10101011110000000001010101011110110001001100111011,Humana
10001000011101101101010110100101101111100111111101,Aleatória
01100110011000111110100100110110000110011110011011,Aleatória
01111111111111111011110000001010101010101010100101,Humana
11000101010010010010110101100011101000111011001110,Aleatória
10101110101100001111010010000110001111000101110110,Aleatória
11100111111110001101110010101010100010111110010101,Aleatória
11011101110110001000111110000001001111001110001010,Aleatória
10011101011100010110000000110101110110111011001001,Aleatória
10101100010110010001010110000111011100110111101110,Aleatória
00110101011101010000100010101111111000000101011000,Humana
10000101101111010101010010101000010101100010111110,Humana
10111010011010011001100100110111110100001101001010,Humana
10100110011010101010010101101010101010101010101010,Humana
01111010100100110010101011100110001010111101000001,Aleatória
11111111111111111111111111111111111111100000000000,Humana
01010100010001010111100010101010101001000100100100,Humana
01010101101011001001001010010010010101010101001110,Humana
11110101101010101010110100110011000100101111110110,Aleatória
10011000110111111110101110111110001111011010111100,Aleatória
11011111011011010011000010101110100010100111010010,Aleatória
10101111101010010111000100000100011101011111110001,Aleatória
01100000010101001011001110001101000100110111101001,Aleatória
01101001110000111101010010010110000010111101010101,Aleatória
10010101101010111011111011010111010111010111000001,Aleatória
00110001111010111011001011000101111000101010010111,Humana
01110001001110110011101101011100100110111110000110,Humana
01010111010100101010010101001010111001010101010010,Humana
01010101010101010100110010101010101010101001010101,Humana
00000000000011101001010101110111111111100101010101,Humana
10111100000100100000110011101001101001101111010000,Aleatória
01001000011001010111010001111011010110110001101100,Humana
01010101101010010101011010101010011010010110101010,Humana
00101001101010010110101101111100001001000110111101,Aleatória
01100111101011111000011110010101110100111001110100,Aleatória
10000101011110010101100000101111000010101111000101,Humana
11010010011110011110001100111011101100111111111000,Aleatória
00010010001110110001101001011011110111011110100000,Aleatória
00101101110101010011101001010101111010001011010010,Humana
10101010101010010010010101010010101001001001001111,Humana
01001011100011110100100110100011011011011010101101,Aleatória
10000111111000000111100001110011001101010101010011,Humana
11110101111011111000101001001000100001010011110111,Humana
01010010010010010010010010010010010010010010010010,Humana
11000101010100111010110101011101010101000101101000,Humana
01110101010011000010101111010101111010100000001010,Humana
01100110110100011110100101001100011100000001001001,Aleatória
11010101111011110110001111011010100010110101100000,Aleatória
11100010001010011000000111001011010100110100001001,Aleatória
00000111111000101010101011111000011001011110011101,Humana
10001101001100000001000000011010111100110111000010,Aleatória
00000011111110001110000000101001110011110111111111,Aleatória
10101110110111011010100011110101000010101110101010,Humana
01010110001010111000101101111010001001110000011100,Aleatória
11011101110000101101010111001110111110000001101011,Aleatória
01010110011110110111100011011001101000010100111011,Aleatória
00001111010110110011001111000101000010100100001001,Humana
01010010101010101010101010101010100011110100010101,Humana
00010101111000010111100010101100001010100000101000,Humana
01011001110010001010110111010100101100101010110010,Humana
00110100101010110101010101001010101100101010110101,Humana
01100010101001010101001101001010110011101000000111,Aleatória
00000010010101011000111101100100000110111110001100,Aleatória
01001010101010001010010101010101001001011100010110,Humana
00010100010111001010101110001010000000101011110101,Humana
10100001000100100010000100101101001001010010100000,Humana
00010111001011110000010000111000101110101110010111,Humana
00011010100011100100001100101100001101110110110100,Aleatória
