F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
1,20,30,3,3,30,1.25,2.0,3,0,17,0,16,15,17,0.9709505941661296,2.7414594653213467,0.62,4,15,15,15,0.7369655941662062,0.5590169943749475,0.7302967433402214,0.7482202261124646,0.7664188081933919,4.907982225817569,2.1728071751357785,27.36823542217665,-0.2,26,49,20,4.015212434638444,Humana
1,22,28,3,4,33,1.2941176470588236,1.6470588235294117,3,0,24,1,17,17,17,0.9895875209335165,3.449289781969616,0.68,5,11,16,17,0.8365012677171205,0.5703152773430975,0.9665692191267637,0.8129573506520736,1.5729223880492849,6.230634559275256,4.335708999205066,41.85325160212407,-0.12,32,50,23,4.224117662343592,Humana
0,26,24,6,4,26,1.8571428571428572,1.8461538461538463,2,0,17,2,14,13,18,0.9988455357066628,2.4836263809196426,0.54,12,11,13,13,0.9434164716336324,1.5050933932646768,1.0262818510866412,1.2968252888897478,1.4989921132503559,5.93666594340229,4.665995598359631,38.79852748890853,0.04,31,44,26,4.53421902118034,Aleatória
1,23,27,12,11,11,3.8333333333333335,4.5,0,3,3,1,6,6,17,0.9953784385316868,0.6499230723708768,0.24,17,21,5,6,0.8889686876112561,3.804237403504442,3.304037933599835,3.5784850922639815,1.2495340306450915,2.7758529982782485,3.20477035210638,9.859418044077136,-0.08,28,50,18,3.7343497272787918,Humana
0,31,19,5,3,25,2.3846153846153846,1.4615384615384615,1,0,12,2,13,13,17,0.9580420219377606,2.041959842896035,0.52,18,6,12,13,0.6896598793878495,1.2113858267710478,0.7457969011409737,1.1067303515337046,1.1735231515772555,4.5659037832438285,3.5787299586921493,23.634695068762166,0.24,26,50,21,4.154133293889817,Aleatória
0,26,24,5,5,38,1.3,1.263157894736842,6,1,35,0,20,19,17,0.9988455357066628,4.9001632625862594,0.78,6,5,19,19,0.9434164716336324,0.9539392014169457,0.90856192113853,0.9322902032152739,3.399836432311657,6.808032709173351,13.283212525834191,47.56789269606105,0.04,22,49,20,3.345052550151177,Humana
0,27,23,5,4,26,1.9285714285714286,1.7692307692307692,2,0,18,1,14,13,18,0.9953784385316868,2.5706808436676853,0.54,13,10,13,13,0.8889686876112561,1.486332289048915,1.186711432349347,1.3527394346481239,1.2575177849666128,6.286577540714674,3.0227146546666703,42.586010253311045,0.08,29,49,21,4.2675959232131575,Humana
1,22,28,4,5,25,1.6923076923076923,2.1538461538461537,2,1,13,1,13,13,17,0.9895875209335165,2.0614557962760203,0.52,9,15,12,13,0.8365012677171205,0.9101661204768638,1.2917581249035897,1.1409536133993328,1.0830101427023169,4.902766951227088,3.215289256198346,28.035521982508364,-0.12,31,50,27,4.599011412296559,Aleatória
1,19,31,6,9,22,1.7272727272727273,2.5833333333333335,2,2,12,3,11,12,18,0.9580420219377606,1.8784035775093701,0.46,8,19,11,11,0.6896598793878495,1.4200453956193917,2.253084305765962,1.9482918697746154,2.2242297884983686,5.150077282250748,7.462278376533705,30.016208023846154,-0.24,32,49,27,4.544876086303667,Aleatória
0,26,24,5,6,26,1.8571428571428572,1.8461538461538463,3,1,17,1,14,13,18,0.9988455357066628,2.459349507491768,0.54,12,11,13,13,0.9434164716336324,1.3014905113063284,1.4058205294228507,1.3527394346481239,1.6166092027204209,6.062745714548984,4.772751180631573,40.230414046747754,0.04,30,45,26,4.544876086303668,Aleatória
