F1,F7,F8,F9,F11,F12,F15,F16,F17,F19,F20,F22,F24,F25,F26,F27,F28,F29,F30,F32,F33,F34,F35,Classe
1.0,1.25,2.0,3.0,17.0,0.0,17.0,0.9709505941661296,2.7414594653213467,4.0,15.0,15.0,0.5590169943749475,0.7302967433402214,0.7482202261124646,0.7664188081933919,4.907982225817569,2.1728071751357785,27.36823542217665,26.0,49.0,20.0,4.015212434638444,1
0.0,1.8571428571428568,1.8461538461538465,2.0,17.0,2.0,18.0,0.9988455357066628,2.4836263809196426,12.0,11.0,13.0,1.5050933932646768,1.0262818510866412,1.2968252888897478,1.498992113250356,5.93666594340229,4.665995598359631,38.79852748890853,31.0,44.0,26.0,4.53421902118034,0
1.0,3.8333333333333335,4.5,0.0,3.0,1.0,17.0,0.9953784385316868,0.6499230723708768,17.0,21.0,6.0,3.804237403504442,3.304037933599835,3.578485092263981,1.2495340306450915,2.7758529982782485,3.20477035210638,9.859418044077136,28.0,50.0,18.0,3.734349727278792,1
0.0,2.3846153846153846,1.4615384615384617,1.0,12.0,2.0,17.0,0.9580420219377606,2.041959842896035,18.0,6.0,13.0,1.2113858267710478,0.7457969011409737,1.1067303515337046,1.1735231515772555,4.5659037832438285,3.5787299586921493,23.634695068762166,26.0,50.0,21.0,4.154133293889817,0
0.0,1.3,1.263157894736842,6.0,35.0,0.0,17.0,0.9988455357066628,4.9001632625862594,6.0,5.0,19.0,0.9539392014169455,0.90856192113853,0.932290203215274,3.399836432311657,6.808032709173351,13.283212525834193,47.56789269606105,22.0,49.0,20.0,3.345052550151177,1
0.0,1.9285714285714288,1.7692307692307692,2.0,18.0,1.0,18.0,0.9953784385316868,2.5706808436676853,13.0,10.0,13.0,1.486332289048915,1.186711432349347,1.352739434648124,1.2575177849666128,6.286577540714674,3.0227146546666703,42.586010253311045,29.0,49.0,21.0,4.2675959232131575,1
1.0,1.6923076923076923,2.1538461538461537,2.0,13.0,1.0,17.0,0.9895875209335164,2.0614557962760203,9.0,15.0,13.0,0.9101661204768638,1.2917581249035897,1.1409536133993328,1.0830101427023169,4.902766951227088,3.215289256198346,28.035521982508364,31.0,50.0,27.0,4.599011412296559,0
1.0,1.7272727272727273,2.583333333333333,2.0,12.0,3.0,18.0,0.9580420219377606,1.87840357750937,8.0,19.0,11.0,1.4200453956193917,2.253084305765962,1.9482918697746157,2.2242297884983686,5.150077282250748,7.462278376533705,30.016208023846158,32.0,49.0,27.0,4.544876086303667,0
0.0,1.8571428571428568,1.8461538461538465,3.0,17.0,1.0,18.0,0.9988455357066628,2.459349507491768,12.0,11.0,13.0,1.3014905113063284,1.4058205294228507,1.352739434648124,1.6166092027204209,6.062745714548984,4.772751180631573,40.23041404674776,30.0,45.0,26.0,4.544876086303668,0
-1.0,1.3888888888888888,1.3157894736842106,6.0,30.0,0.0,17.0,0.9999999997114608,4.218103839404621,7.0,6.0,18.0,0.8258927081843613,0.7981974151633211,0.8126106150471841,2.2988793437873314,6.67494170206574,7.0780014096640365,46.31107169344111,25.0,49.0,18.0,3.740103260028584,1
0.0,2.5454545454545454,2.0,0.0,11.0,1.0,17.0,0.9895875209335164,1.710672382427448,17.0,11.0,10.0,1.9708621262435275,1.348399724926484,1.7104443383842527,1.1526213176572415,5.1001595118891165,2.8397012352772184,30.08319191352729,28.0,48.0,26.0,4.526294499949898,0
0.0,2.0,1.8461538461538465,3.0,15.0,1.0,17.0,0.9988455357066628,2.2202702538204666,13.0,11.0,12.0,1.1766968108291045,1.2917581249035897,1.2379597645716216,0.997550381093818,5.66916082028276,2.648365408983169,36.36674728769192,28.0,47.0,23.0,4.273911011375186,1
1.0,2.333333333333333,2.9,0.0,4.0,8.0,16.0,0.9814538947451146,1.4406942770761604,12.0,19.0,9.0,0.4714045207910317,2.913760456866693,2.1572527928336003,2.997058831173011,4.734949713658972,12.007899659863934,26.684349028202437,27.0,48.0,17.0,3.938003326284241,0
1.0,1.5384615384615383,2.142857142857143,1.0,16.0,3.0,18.0,0.9709505941661296,2.3850366873488547,7.0,16.0,13.0,0.9294650748918902,1.7261494247992248,1.4325244152454604,2.150787534086903,5.681955142933588,7.333615130544198,35.86370287993179,30.0,49.0,28.0,4.594107879923024,0
1.0,1.9166666666666667,2.25,0.0,6.0,1.0,18.0,0.9953784385316868,2.1282856951076847,11.0,15.0,11.0,0.8620067027323834,1.0897247358851685,0.9965217285917832,1.348513339214232,5.473572158812186,4.577094234436893,33.48265949937866,29.0,47.0,23.0,4.2446723598980896,0
1.0,1.4615384615384617,2.3846153846153846,3.0,22.0,10.0,17.0,0.9580420219377606,3.0805194367184243,6.0,18.0,12.0,1.336780553614059,4.010341660842177,3.0245543463596154,3.9602225246816296,6.776461954091002,18.19015729780478,47.2801053797989,20.0,48.0,18.0,3.465495989468814,1
-1.0,1.6666666666666667,1.6666666666666667,2.0,16.0,0.0,18.0,0.9999999997114608,2.6000000000000005,10.0,10.0,15.0,0.7888106377466154,0.7888106377466155,0.7888106377466154,0.664049771572406,4.78470641784251,1.9132653061224492,26.303315710234223,28.0,50.0,23.0,4.4250983688183005,0
1.0,1.8461538461538465,2.0,2.0,14.0,0.0,18.0,0.9988455357066628,2.1469979040511427,11.0,13.0,13.0,1.166596222161777,1.1094003924504583,1.1409536133993328,0.7722652970033497,5.192426644104978,2.042066115702479,31.496017607369303,31.0,50.0,26.0,4.588354347173232,0
1.0,1.5384615384615383,2.142857142857143,2.0,17.0,5.0,18.0,0.9709505941661296,2.4836263809196426,7.0,16.0,13.0,0.7457969011409736,1.994891434824135,1.5564371399593104,2.545690962616737,5.921000148047559,9.737811486374698,38.73646041333114,28.0,49.0,23.0,4.24684334837874,0
-1.0,1.5625,1.5625,3.0,24.0,1.0,17.0,0.9999999997114608,3.392698041382403,9.0,9.0,16.0,1.0588171466310885,1.1709371246996996,1.1162856937182344,1.86502126063226,6.535961993691053,5.077908039425713,44.961630174158266,27.0,50.0,23.0,4.249014336859389,1
1.0,1.6,1.7333333333333334,0.0,16.0,1.0,17.0,0.9988455357066628,2.6907248094147422,9.0,11.0,15.0,0.7999999999999999,1.0624918300339483,0.9428090415820632,1.9003494744388467,4.894653551999984,6.731250000000001,25.926162205060887,28.0,50.0,23.0,4.25476786960918,1
-1.0,1.1363636363636365,1.1363636363636365,6.0,38.0,0.0,16.0,0.9999999997114608,5.368947755380005,3.0,3.0,22.0,0.3431742925123067,0.3431742925123067,0.3431742925123067,2.1192517713040706,6.622887990222122,5.491228070175442,45.7160712088564,22.0,50.0,14.0,2.9451720035002102,1
-1.0,1.6666666666666667,1.6666666666666667,3.0,19.0,1.0,18.0,0.9999999997114608,2.785677655436824,10.0,10.0,14.0,1.07496769977314,1.07496769977314,1.07496769977314,1.657771933451921,5.905390895393422,4.81508875739645,38.35646721224359,27.0,48.0,26.0,4.5670402169265785,0
1.0,11.0,39.0,0.0,0.0,28.0,13.0,0.7601675026734266,0.1959591794226542,10.0,38.0,1.0,0.0,0.0,14.0,0.0,4.694855340334422,1.0,23.04166666666665,14.0,50.0,6.0,1.1936404332857726,1
0.0,1.6666666666666667,1.1764705882352942,4.0,26.0,1.0,17.0,0.9709505941661296,3.7000000000000006,12.0,3.0,17.0,0.816496580927726,0.7058823529411764,0.8030553898602969,1.7226252254053394,6.416362308254196,4.76886716872296,43.749010357167805,24.0,49.0,16.0,3.6673863476819215,1
0.0,1.35,1.2105263157894737,4.0,29.0,1.0,17.0,0.9953784385316868,4.225115383039852,7.0,4.0,19.0,0.4769696007084729,0.5210260492953508,0.5037662231894487,1.5543870528023,6.100527389522975,4.492912561411043,40.089511308225056,24.0,49.0,16.0,3.552452511207945,1
1.0,1.3125,1.8125,3.0,21.0,3.0,17.0,0.9814538947451146,3.122563049803799,5.0,13.0,16.0,0.582961190818051,1.3331705629813464,1.0588171466310885,2.6790957087285867,5.79832173645218,10.684371547548228,36.767893796875946,31.0,50.0,24.0,4.354552444952287,0
1.0,1.5333333333333334,1.8,1.0,18.0,1.0,18.0,0.9953784385316868,2.705549851693737,8.0,12.0,15.0,0.8844332774281067,1.1075498483890769,1.0110500592068732,1.6699527206654177,5.588997543676208,5.3024574669187166,34.85487772104271,30.0,50.0,27.0,4.588354347173232,0
1.0,1.9166666666666667,2.076923076923077,3.0,16.0,2.0,18.0,0.9953784385316868,2.3430749027719964,11.0,14.0,12.0,1.2555432644432802,1.8589301497837805,1.6,1.640625,5.928410724761777,4.931640625,38.5785879940677,29.0,49.0,25.0,4.501397825434102,0
0.0,1.9285714285714288,1.6428571428571428,1.0,15.0,2.0,18.0,0.9953784385316868,2.3846173697262216,13.0,9.0,13.0,1.3343958351621,0.8949974347244049,1.1450871101343856,1.995134288698771,5.05839214391822,7.30610607276416,28.811924804186788,30.0,48.0,31.0,4.8385668472672965,0
-1.0,1.6666666666666667,1.6666666666666667,2.0,20.0,1.0,17.0,0.9999999997114608,2.891366458960192,10.0,10.0,14.0,1.1925695879998874,1.0749676997731397,1.1352924243950933,1.6351045767521497,6.115219209977728,4.405469678953626,40.65289256198342,32.0,48.0,26.0,4.561286684176787,0
1.0,1.3333333333333333,1.875,5.0,22.0,0.0,17.0,0.9709505941661296,3.142546737918149,5.0,14.0,15.0,1.0110500592068734,1.165922381636102,1.1267257546176117,1.8830975712574607,6.326276799443863,5.628597151303412,42.88380436878762,24.0,49.0,20.0,3.985973783161348,0
1.0,1.6428571428571428,1.9285714285714288,2.0,15.0,1.0,17.0,0.9953784385316868,2.342306555513176,9.0,13.0,13.0,0.8112726208286106,1.0996288798814748,0.9767710236555246,0.8986438666546235,5.064826826335768,2.537704824272928,29.73440703260008,33.0,45.0,24.0,4.414441303694972,1
1.0,1.6923076923076923,2.333333333333333,1.0,10.0,1.0,17.0,0.9895875209335164,1.8894443627691184,9.0,16.0,12.0,0.9101661204768638,1.1055415967851334,1.0583005244258363,1.0124048384175728,4.047252713132071,3.571428571428571,18.39500506084787,31.0,49.0,27.0,4.604764945046352,1
0.0,1.238095238095238,1.2,6.0,34.0,1.0,17.0,0.9988455357066628,4.798708159494593,5.0,4.0,20.0,0.4259177099999599,0.6000000000000001,0.518543698182178,2.327659776991627,6.62011447744219,7.433021379904456,45.72522521199115,23.0,49.0,13.0,3.2700100369385985,1
0.0,1.1304347826086956,1.0434782608695652,7.0,42.0,0.0,16.0,0.9988455357066628,5.895218401382597,3.0,1.0,22.0,0.3367811605397753,0.203931119992323,0.2817713347133852,2.931763649279748,6.766599740752967,9.595238095238091,47.15970783378104,19.0,48.0,10.0,2.3266347815795863,1
0.0,2.25,1.9166666666666667,0.0,11.0,1.0,18.0,0.9953784385316868,1.857309882599024,15.0,11.0,12.0,1.479019945774904,1.114924013354971,1.3202482931462385,1.041596501048247,4.545355441113316,2.7576228948746846,23.70337299196958,29.0,50.0,25.0,4.51205489055743,0
-1.0,1.6666666666666667,1.7857142857142858,2.0,15.0,0.0,17.0,0.9999999997114608,2.458373446000424,10.0,11.0,14.0,0.9428090415820634,0.8601138984851641,0.9057879680388756,1.1275148173291991,4.8507073279494985,3.369766855702585,26.45162564172142,30.0,49.0,27.0,4.588354347173232,1
1.0,1.6,1.7333333333333334,2.0,18.0,1.0,18.0,0.9988455357066628,2.7422618401604177,9.0,11.0,14.0,0.8793937305515279,1.18133634311129,1.043498389499902,1.75365097943861,5.495541142444607,5.329029571012075,33.48234495246715,31.0,47.0,27.0,4.637586140792589,0
0.0,2.0,1.7142857142857142,3.0,18.0,1.0,17.0,0.9988455357066628,2.6092910914652667,13.0,10.0,13.0,1.4142135623730951,1.2205719636167902,1.325077319999875,1.1327518580549223,6.087944532817666,2.5938647460937503,40.27182468615706,26.0,49.0,18.0,3.9930483040155336,1
1.0,1.9,3.1,0.0,5.0,6.0,16.0,0.9580420219377606,1.42828568570857,9.0,21.0,10.0,0.7000000000000001,2.2113344387495983,1.746424919657298,2.478130496046905,4.011390593656711,9.789035205589895,19.02998846597463,26.0,50.0,22.0,4.249014336859389,0
0.0,1.4210526315789471,1.15,4.0,30.0,2.0,17.0,0.9953784385316868,4.323378308684077,8.0,3.0,19.0,0.4937279747182557,0.653834841531101,0.5969459859909136,2.695937669374453,6.262117697523025,11.486996364428586,41.88746455032644,21.0,46.0,10.0,2.9314903608422926,1
-1.0,2.272727272727273,2.083333333333333,2.0,11.0,0.0,18.0,0.9999999997114608,1.7912007146045918,14.0,13.0,11.0,1.6006197146962735,1.4976833963009524,1.5506569130545222,1.3179468196998163,4.7216981155795335,3.6344710454491542,25.9041866645996,25.0,48.0,21.0,4.251185325340039,1
1.0,1.8333333333333333,2.1538461538461537,1.0,14.0,1.0,17.0,0.9895875209335164,2.090454496036687,10.0,15.0,12.0,0.9860132971832696,1.511298669568346,1.296148139681572,0.8817334283548109,5.536772377167793,2.2959183673469394,35.02780556006472,28.0,47.0,24.0,4.4250983688183,1
-1.0,1.3888888888888888,1.3888888888888888,4.0,27.0,0.0,16.0,0.9999999997114608,3.85766768916142,7.0,7.0,18.0,0.7556372504853025,0.6781419786518724,0.7179359990733382,1.5189176983514376,6.356619211821818,3.6452006167306097,43.11758199626874,28.0,50.0,18.0,3.846143272171575,1
0.0,1.625,1.6,4.0,24.0,3.0,17.0,0.9988455357066628,3.381656398867277,10.0,9.0,15.0,1.5761900266148114,1.083205120618128,1.360204428536001,2.491898691856389,6.61244010250522,8.921895660117848,45.703739791584354,27.0,49.0,21.0,4.1478182057277895,1
1.0,1.5714285714285714,2.0,3.0,17.0,1.0,18.0,0.9895875209335164,2.49927989629013,8.0,14.0,14.0,1.178030178747903,1.1338934190276817,1.175862688082452,1.343577747213777,5.816892719525646,3.5439196089377862,37.66547249248352,28.0,50.0,22.0,4.294663586209604,0
0.0,2.230769230769231,1.5,1.0,14.0,3.0,17.0,0.9814538947451146,2.2289908030317216,16.0,7.0,13.0,1.4225570776082257,0.7319250547113999,1.1770554505237556,1.7876958026397043,4.9531481610912325,6.400319576512108,28.12389081703073,30.0,49.0,26.0,4.604764945046351,0
1.0,1.9166666666666667,2.25,2.0,14.0,1.0,18.0,0.9953784385316868,2.032141727340886,11.0,15.0,11.0,1.3202482931462385,1.7380544678845176,1.552328000849763,1.1977300749192037,5.941752288321191,3.0693137556162737,39.25398521457655,27.0,44.0,24.0,4.414441303694972,1
0.0,2.727272727272727,1.818181818181818,1.0,10.0,3.0,17.0,0.9709505941661296,1.6632498309033434,19.0,9.0,11.0,2.2193737483152187,0.9359663764533636,1.7627926754241194,1.67304206939691,4.577741109025575,4.911696468990494,24.37719192317225,32.0,50.0,25.0,4.398030705821852,0
1.0,3.142857142857143,4.0,0.0,4.0,2.0,17.0,0.9895875209335164,0.8009993757800314,15.0,21.0,6.0,2.231499907401901,2.7774602993176543,2.55550625999976,0.7646304326184826,3.18940725074819,2.28951171875,12.865883918632342,27.0,35.0,22.0,4.107922489127366,0
1.0,1.2941176470588236,1.6470588235294117,5.0,26.0,0.0,16.0,0.9895875209335164,3.6793477682872,5.0,11.0,17.0,0.823529411764706,0.9665692191267636,0.9150793638884732,1.6989688100935976,6.528646415637519,4.412027866948978,44.8690221858334,28.0,50.0,21.0,4.129236619374021,1
0.0,1.8571428571428568,1.8461538461538465,2.0,15.0,1.0,18.0,0.9988455357066628,2.299652147608416,12.0,11.0,13.0,1.1866605518454392,1.0262818510866412,1.1123449939023116,1.1015852691443075,5.296668315789301,3.334813988131818,32.00556689770955,29.0,49.0,28.0,4.642489673166124,0
1.0,1.5714285714285714,2.0,1.0,14.0,0.0,17.0,0.9895875209335164,2.342306555513176,8.0,14.0,13.0,0.9035079029052512,1.0,0.9767710236555246,1.128584072743796,4.728661787242224,3.2103005519174137,25.08057056443329,32.0,47.0,28.0,4.648243205915917,0
0.0,2.1538461538461537,1.6923076923076923,1.0,13.0,0.0,17.0,0.9895875209335164,2.1469979040511427,15.0,9.0,12.0,1.166596222161777,1.0658774200423855,1.1409536133993328,0.9276377198528332,4.646795817924876,2.3563223140495864,24.87491110112204,30.0,45.0,28.0,4.7081320646586,1
0.0,1.238095238095238,1.1428571428571428,5.0,38.0,1.0,16.0,0.9988455357066628,5.319248067161372,5.0,3.0,20.0,0.6098213559459856,0.63887656499994,0.6263307827602811,3.323284472047117,6.815360738570385,13.031541314444189,47.6362392768654,23.0,48.0,15.0,2.969997547967329,1
0.0,2.142857142857143,1.5384615384615383,3.0,18.0,1.0,18.0,0.9709505941661296,2.593915958546076,16.0,7.0,13.0,1.4069796859708723,1.08240363688233,1.2968252888897478,1.09142131053033,6.156140385918435,2.5940524630823725,41.13785913336031,29.0,47.0,18.0,3.9887063270542353,1
-1.0,1.3888888888888888,1.4705882352941178,3.0,23.0,0.0,16.0,0.9999999997114608,3.448187929913334,7.0,8.0,17.0,0.5905636562630361,0.6960093862470137,0.6452337023220694,1.2242323417760133,5.686681597595519,3.3016147635524784,35.66226221439732,31.0,49.0,23.0,4.229871195093383,1
-1.0,1.1904761904761905,1.1904761904761905,6.0,34.0,0.0,15.0,0.9999999997114608,4.867689390254888,4.0,4.0,20.0,0.392676726249301,0.392676726249301,0.3926767262493009,1.5764815627361648,6.381452082969372,3.48529411764706,43.16663608769501,26.0,47.0,13.0,3.266989048081693,1
0.0,1.6875,1.4375,3.0,21.0,3.0,17.0,0.9953784385316868,3.0968370961353457,11.0,7.0,15.0,1.260890062614501,0.7043392293490403,1.0288798520721456,2.6723613450588357,5.857401876920244,11.23597173241105,37.72943898185806,28.0,46.0,25.0,4.370963042825406,0
0.0,2.333333333333333,2.0,1.0,10.0,1.0,18.0,0.9895875209335164,1.7229045243425418,16.0,11.0,11.0,1.5986105077709063,1.2792042981336629,1.4641268035202375,1.2766005823271311,4.50235770603276,3.528395994886299,22.98366178092843,31.0,44.0,28.0,4.691721466785482,0
0.0,1.4,1.1578947368421053,3.0,31.0,0.0,17.0,0.9895875209335164,4.392220395198765,8.0,3.0,19.0,0.66332495807108,0.488085183973458,0.5969459859909135,1.9726991729692789,6.529255093718543,5.584503206655683,44.839230090548725,26.0,49.0,16.0,3.5401860130162053,1
0.0,1.8666666666666667,1.4666666666666666,3.0,22.0,3.0,18.0,0.9895875209335164,3.1432467291003423,13.0,7.0,14.0,1.5860503004493751,0.9568466729604884,1.3249737942901192,2.432975433835085,6.360271578085807,9.289376702451536,43.04858299595138,29.0,46.0,21.0,4.143476228766491,1
0.0,2.2666666666666666,1.0666666666666669,0.0,19.0,3.0,17.0,0.9043814574359548,2.785677655436824,19.0,1.0,15.0,1.236482466066094,0.2494438257849294,1.07496769977314,1.657771933451921,5.905390895393422,4.81508875739645,38.35646721224359,27.0,50.0,16.0,3.7442473597099615,1
-1.0,2.083333333333333,2.083333333333333,1.0,12.0,1.0,17.0,0.9999999997114608,1.9518196638009369,13.0,13.0,11.0,1.320248293146238,1.114924013354971,1.2219065248845982,0.6629619392992043,4.86353894319063,2.258453217955652,26.779097824175388,29.0,44.0,22.0,4.176297424512727,1
0.0,1.9285714285714288,1.7692307692307692,1.0,12.0,1.0,18.0,0.9953784385316868,2.1467184258770406,13.0,10.0,13.0,1.0996288798814748,0.696568087549032,0.9310966733315952,0.8484265973646229,4.342181412702237,2.752804037814452,21.210044400190004,31.0,47.0,25.0,4.474330162437656,0
0.0,2.230769230769231,1.6153846153846154,3.0,19.0,2.0,17.0,0.9814538947451146,2.670131082924581,16.0,8.0,12.0,2.0438969623979117,1.273303489018988,1.7303418275695372,1.7221644087246903,6.628010588969957,4.644854629817683,45.89211719860501,26.0,43.0,21.0,3.992640556327225,1
1.0,1.411764705882353,1.625,2.0,23.0,2.0,17.0,0.9988455357066628,3.3142721674599995,7.0,10.0,16.0,0.6910200073218077,1.1110243021644486,0.925111364998409,2.022442480044828,6.183260306490882,6.984522647313455,41.36756819929422,28.0,49.0,28.0,4.561286684176785,0
1.0,1.7692307692307692,2.076923076923077,3.0,15.0,6.0,18.0,0.9953784385316868,2.308592644881292,10.0,14.0,12.0,1.0490908997681427,2.36843143359087,1.8381235608228488,3.308832132173866,5.3727150239226695,14.50536895666496,32.20112682900847,31.0,44.0,24.0,4.370963042825407,0
0.0,2.076923076923077,1.7692307692307692,1.0,12.0,3.0,18.0,0.9953784385316868,2.1094074997496333,14.0,10.0,13.0,1.5913969896597848,0.890448992522325,1.2986110012410872,2.3556779580777363,4.542715417997652,9.408938134810704,22.81035125468052,33.0,50.0,30.0,4.762267390651493,0
0.0,1.4,1.1578947368421053,5.0,33.0,0.0,16.0,0.9895875209335164,4.631587200949584,8.0,3.0,19.0,0.8,0.6698906348083083,0.749314830574485,2.77889529788194,6.731306931490559,9.667422626131884,46.84144697211105,23.0,48.0,17.0,3.2167879513617903,1
