F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
1.0,20.0,30.0,3.0,3.0,30.0,1.25,2.0,3.0,0.0,17.0,0.0,16.0,15.0,17.0,0.9709505941661296,2.7414594653213467,0.62,4.0,15.0,15.0,15.0,0.7369655941662062,0.5590169943749475,0.7302967433402214,0.7482202261124646,0.7664188081933919,4.907982225817569,2.1728071751357785,27.36823542217665,-0.2,26.0,49.0,20.0,4.015212434638444,1
1.0,22.0,28.0,3.0,4.0,33.0,1.2941176470588236,1.6470588235294117,3.0,0.0,24.0,1.0,17.0,17.0,17.0,0.9895875209335164,3.449289781969616,0.68,5.0,11.0,16.0,17.0,0.8365012677171205,0.5703152773430975,0.9665692191267636,0.8129573506520736,1.5729223880492849,6.230634559275256,4.335708999205066,41.85325160212407,-0.12,32.0,50.0,23.0,4.224117662343592,1
0.0,26.0,24.0,6.0,4.0,26.0,1.8571428571428568,1.8461538461538465,2.0,0.0,17.0,2.0,14.0,13.0,18.0,0.9988455357066628,2.4836263809196426,0.54,12.0,11.0,13.0,13.0,0.9434164716336324,1.5050933932646768,1.0262818510866412,1.2968252888897478,1.498992113250356,5.93666594340229,4.665995598359631,38.79852748890853,0.04,31.0,44.0,26.0,4.53421902118034,0
1.0,23.0,27.0,12.0,11.0,11.0,3.8333333333333335,4.5,0.0,3.0,3.0,1.0,6.0,6.0,17.0,0.9953784385316868,0.6499230723708768,0.24,17.0,21.0,5.0,6.0,0.8889686876112561,3.804237403504442,3.304037933599835,3.578485092263981,1.2495340306450915,2.7758529982782485,3.20477035210638,9.859418044077136,-0.08,28.0,50.0,18.0,3.734349727278792,1
0.0,31.0,19.0,5.0,3.0,25.0,2.3846153846153846,1.4615384615384617,1.0,0.0,12.0,2.0,13.0,13.0,17.0,0.9580420219377606,2.041959842896035,0.52,18.0,6.0,12.0,13.0,0.6896598793878495,1.2113858267710478,0.7457969011409737,1.1067303515337046,1.1735231515772555,4.5659037832438285,3.5787299586921493,23.634695068762166,0.24,26.0,50.0,21.0,4.154133293889817,0
0.0,26.0,24.0,5.0,5.0,38.0,1.3,1.263157894736842,6.0,1.0,35.0,0.0,20.0,19.0,17.0,0.9988455357066628,4.9001632625862594,0.78,6.0,5.0,19.0,19.0,0.9434164716336324,0.9539392014169455,0.90856192113853,0.932290203215274,3.399836432311657,6.808032709173351,13.283212525834193,47.56789269606105,0.04,22.0,49.0,20.0,3.345052550151177,1
0.0,27.0,23.0,5.0,4.0,26.0,1.9285714285714288,1.7692307692307692,2.0,0.0,18.0,1.0,14.0,13.0,18.0,0.9953784385316868,2.5706808436676853,0.54,13.0,10.0,13.0,13.0,0.8889686876112561,1.486332289048915,1.186711432349347,1.352739434648124,1.2575177849666128,6.286577540714674,3.0227146546666703,42.586010253311045,0.08,29.0,49.0,21.0,4.2675959232131575,1
1.0,22.0,28.0,4.0,5.0,25.0,1.6923076923076923,2.1538461538461537,2.0,1.0,13.0,1.0,13.0,13.0,17.0,0.9895875209335164,2.0614557962760203,0.52,9.0,15.0,12.0,13.0,0.8365012677171205,0.9101661204768638,1.2917581249035897,1.1409536133993328,1.0830101427023169,4.902766951227088,3.215289256198346,28.035521982508364,-0.12,31.0,50.0,27.0,4.599011412296559,0
1.0,19.0,31.0,6.0,9.0,22.0,1.7272727272727273,2.583333333333333,2.0,2.0,12.0,3.0,11.0,12.0,18.0,0.9580420219377606,1.87840357750937,0.46,8.0,19.0,11.0,11.0,0.6896598793878495,1.4200453956193917,2.253084305765962,1.9482918697746157,2.2242297884983686,5.150077282250748,7.462278376533705,30.016208023846158,-0.24,32.0,49.0,27.0,4.544876086303667,0
0.0,26.0,24.0,5.0,6.0,26.0,1.8571428571428568,1.8461538461538465,3.0,1.0,17.0,1.0,14.0,13.0,18.0,0.9988455357066628,2.459349507491768,0.54,12.0,11.0,13.0,13.0,0.9434164716336324,1.3014905113063284,1.4058205294228507,1.352739434648124,1.6166092027204209,6.062745714548984,4.772751180631573,40.23041404674776,0.04,30.0,45.0,26.0,4.544876086303668,0
-1.0,25.0,25.0,4.0,4.0,36.0,1.3888888888888888,1.3157894736842106,6.0,0.0,30.0,0.0,18.0,19.0,17.0,0.9999999997114608,4.218103839404621,0.74,7.0,6.0,18.0,18.0,1.0,0.8258927081843613,0.7981974151633211,0.8126106150471841,2.2988793437873314,6.67494170206574,7.0780014096640365,46.31107169344111,0.0,25.0,49.0,18.0,3.740103260028584,1
0.0,29.0,21.0,4.0,3.0,30.0,1.9333333333333331,1.3125,1.0,0.0,19.0,1.0,15.0,16.0,17.0,0.9814538947451146,2.841760018017004,0.62,14.0,5.0,15.0,15.0,0.7858751946471527,0.9285592184789412,0.6817945071647321,0.8679757449724973,1.1306489547817746,5.610768249736607,3.057400567748238,35.37143447342517,0.16,26.0,47.0,19.0,3.963809652538437,0
0.0,26.0,24.0,4.0,5.0,25.0,2.0,1.8461538461538465,3.0,1.0,15.0,1.0,13.0,13.0,17.0,0.9988455357066628,2.2202702538204666,0.52,13.0,11.0,13.0,12.0,0.9434164716336324,1.1766968108291045,1.2917581249035897,1.2379597645716216,0.997550381093818,5.66916082028276,2.648365408983169,36.36674728769192,0.04,28.0,47.0,23.0,4.273911011375186,1
1.0,21.0,29.0,3.0,11.0,18.0,2.333333333333333,2.9,0.0,2.0,4.0,8.0,9.0,10.0,16.0,0.9814538947451146,1.4406942770761604,0.38,12.0,19.0,9.0,9.0,0.7858751946471527,0.4714045207910317,2.913760456866693,2.1572527928336003,2.997058831173011,4.734949713658972,12.007899659863934,26.684349028202437,-0.16,27.0,48.0,17.0,3.938003326284241,0
-1.0,25.0,25.0,9.0,4.0,26.0,1.9230769230769231,1.7857142857142858,2.0,0.0,17.0,5.0,13.0,14.0,18.0,0.9999999997114608,2.4836263809196426,0.54,12.0,11.0,13.0,13.0,1.0,2.1289773081689307,1.0809104250301114,1.671187284841256,2.9963695691130865,5.93666594340229,12.658048062189046,38.798527488908526,0.0,28.0,48.0,25.0,4.410099326733673,1
1.0,20.0,30.0,4.0,7.0,26.0,1.5384615384615383,2.142857142857143,1.0,2.0,16.0,3.0,13.0,14.0,18.0,0.9709505941661296,2.3850366873488547,0.54,7.0,16.0,13.0,13.0,0.7369655941662062,0.9294650748918902,1.7261494247992248,1.4325244152454604,2.150787534086903,5.681955142933588,7.333615130544198,35.86370287993179,-0.2,30.0,49.0,28.0,4.594107879923024,0
1.0,19.0,31.0,6.0,16.0,25.0,1.4615384615384617,2.3846153846153846,3.0,3.0,22.0,10.0,13.0,13.0,17.0,0.9580420219377606,3.0805194367184243,0.52,6.0,18.0,13.0,12.0,0.6896598793878495,1.336780553614059,4.010341660842177,3.0245543463596154,3.9602225246816296,6.776461954091002,18.19015729780478,47.2801053797989,-0.24,20.0,48.0,18.0,3.465495989468814,1
-1.0,25.0,25.0,3.0,3.0,29.0,1.6666666666666667,1.6666666666666667,2.0,0.0,16.0,0.0,15.0,15.0,18.0,0.9999999997114608,2.6000000000000005,0.6,10.0,10.0,14.0,15.0,1.0,0.7888106377466154,0.7888106377466155,0.7888106377466154,0.664049771572406,4.78470641784251,1.9132653061224492,26.303315710234223,0.0,28.0,50.0,23.0,4.4250983688183005,0
1.0,24.0,26.0,4.0,4.0,25.0,1.8461538461538465,2.0,2.0,0.0,14.0,0.0,13.0,13.0,18.0,0.9988455357066628,2.1469979040511427,0.52,11.0,13.0,12.0,13.0,0.9434164716336324,1.166596222161777,1.1094003924504583,1.1409536133993328,0.7722652970033497,5.192426644104978,2.042066115702479,31.496017607369303,-0.04,31.0,50.0,26.0,4.588354347173232,0
1.0,20.0,30.0,3.0,8.0,26.0,1.5384615384615383,2.142857142857143,2.0,2.0,17.0,5.0,13.0,14.0,18.0,0.9709505941661296,2.4836263809196426,0.54,7.0,16.0,13.0,13.0,0.7369655941662062,0.7457969011409736,1.994891434824135,1.5564371399593104,2.545690962616737,5.921000148047559,9.737811486374698,38.73646041333114,-0.2,28.0,49.0,23.0,4.24684334837874,0
1.0,24.0,26.0,6.0,5.0,21.0,2.1818181818181817,2.363636363636364,0.0,1.0,9.0,1.0,11.0,11.0,17.0,0.9988455357066628,1.5894653189044423,0.44,13.0,15.0,10.0,11.0,0.9434164716336324,1.465865045145191,1.2984415324623362,1.3876670474976134,1.0358234528687813,4.188629973916623,3.4635561531802037,20.327568413963984,-0.04,31.0,50.0,25.0,4.49564429268431,0
1.0,24.0,26.0,7.0,3.0,26.0,1.8461538461538465,1.8571428571428568,2.0,0.0,14.0,4.0,13.0,14.0,18.0,0.9988455357066628,2.2645970944077445,0.54,11.0,12.0,13.0,13.0,0.9434164716336324,1.6098807335735654,0.832993127835043,1.26794390878694,2.4597475266470914,4.804174466673884,10.295807173059671,26.588334733834696,-0.04,29.0,49.0,26.0,4.51205489055743,0
0.0,27.0,23.0,6.0,7.0,26.0,1.9285714285714288,1.7692307692307692,4.0,1.0,18.0,1.0,14.0,13.0,18.0,0.9953784385316868,2.5706808436676853,0.54,13.0,10.0,13.0,13.0,0.8889686876112561,1.486332289048915,1.6245163139956058,1.5564371399593109,2.0741898554960385,6.293641314167839,6.528932048547559,42.596561889904514,0.08,30.0,48.0,25.0,4.439337978210768,1
-1.0,25.0,25.0,4.0,5.0,31.0,1.5625,1.5625,3.0,1.0,24.0,1.0,16.0,16.0,17.0,0.9999999997114608,3.392698041382403,0.64,9.0,9.0,15.0,16.0,1.0,1.0588171466310885,1.1709371246996996,1.1162856937182344,1.86502126063226,6.535961993691053,5.077908039425713,44.961630174158266,0.0,27.0,50.0,23.0,4.249014336859389,1
